Map,Steps,StatesExplored,ExecutionTime
1,92,472,0.556
2,37,488,0.566
3,53,1057,1.776
4,101,866,2.519
5,65,3972,49.221
6,75,538,0.976
7,44,1098,2.575
8,165,5204,102.185
9,103,2495,28.791
10,48,3466,45.392
11,142,1050,4.551
12,85,962,4.758
13,129,4550,85.674
14,137,2603,34.224
15,111,1587,12.535
16,153,3477,35.071
17,81,1194,5.36
18,133,6576,141.056
19,94,1443,6.368
20,110,4422,56.455
21,148,2359,18.202
22,226,13294,405.757
23,81,344,0.359
24,92,647,1.208
